brand,screen_size,ram,rom,mp,battery,price
Tecno,6.1,2,32,8,5000,369000
Samsung,6.5,8,28,48,5000,1450000
Infinix,6.82,4,64,13,6000,478000
Samsung,6.6,4,64,50,5000,730000
Tecno,6.6,4,64,13,5000,510000
Tecno,6.7,8,56,64,4750,1499000
Samsung,6.6,4,64,50,6000,550000
Redmi,6.58,4,28,50,5000,720000
Tecno,6.6,3,64,13,5000,520000
Infinix,6.6,2,32,8,5000,448900
Infinix,6.82,4,28,50,5000,680000
Samsung,6.5,3,32,13,5000,468000
Oppo,6.59,8,56,50,5000,1280000
Samsung,6.5,8,28,48,5000,1399000
Motorola,6.4,4,64,16,5000,659000
Tecno,6.0,2,32,5,4000,330000
Tecno,6.1,2,32,5,5000,375000
Hisence,6.95,4,64,16,5150,570000
Tecno,6.1,2,32,5,5000,355000
Tecno,6.1,2,32,5,5000,340000
Samsung,6.6,6,28,50,5000,790000
Samsung,6.1,8,56,50,3700,3000000
Tecno,6.5,2,32,13,5000,400000
Samsung,6.5,2,32,8,5000,440000
Hisence,6.53,6,28,48,4020,742000
Itel,6.6,1,16,8,5000,310000
Vivo,6.58,8,28,50,5000,1300000
Infinix,6.6,4,64,13,5000,525000
Samsung,6.7,8,28,64,5000,1325000
Oppo,6.56,4,28,48,5000,970000
Oppo,6.51,4,28,16,5000,820000
Tecno,5.5,1,16,5,2400,280000
Redmi,6.58,6,28,50,5000,780000
Tecno,6.8,8,56,64,5000,1150000
Samsung,6.6,6,28,50,5000,840000
Tecno,6.0,1,16,5,4000,289000
Redmi,6.5,6,28,48,5000,760000
Infinix,6.95,8,28,64,5000,1111000
Samsung,6.4,6,28,48,5000,1150000
Tecno,6.8,8,56,64,5000,1420000
Tecno,6.6,3,64,13,5000,500000
Samsung,6.5,6,28,48,5000,950000
Tecno,6.7,8,56,64,4750,1000000
Oppo,6.43,8,28,48,5000,1100000
Nokia,6.67,6,28,48,4470,1180000
Samsung,6.6,6,28,50,5000,950000
Samsung,6.5,4,64,13,5000,590000
Redmi,6.6,8,28,50,5000,1050000
Samsung,6.5,8,56,48,5000,1630000
Oppo,6.52,4,64,13,5000,730000
Tecno,6.6,4,28,13,5000,642000
Itel,5.0,1,32,5,3020,240000
Samsung,6.6,8,56,50,4500,3880000
Samsung,6.5,4,64,48,6000,630000
Itel,6.6,1,16,8,5000,309000
Samsung,6.6,8,56,50,4500,3400000
Samsung,7.6,2,56,50,4400,5500000
Samsung,6.6,6,28,50,5000,840000
Infinix,6.6,4,64,13,5200,510000
Tecno,6.7,8,56,64,4750,1700000
Realme,6.5,4,64,64,4300,900000
Vivo,6.51,3,32,8,5000,425940
Infinix,6.7,8,28,50,5000,860000
Tecno,6.52,4,64,48,5000,589900
Vivo,6.44,8,28,64,4500,1290000
Itel,6.6,1,16,8,5000,318000
Redmi,6.58,6,28,50,5000,780000
Redmi,6.5,6,28,48,5000,888800
Oppo,6.43,8,28,64,4300,1850000
Infinix,6.6,2,32,8,5000,381000
Redmi,6.7,8,28,50,6000,727000
Tecno,6.5,4,64,16,5000,579900
Tecno,6.6,2,64,13,5000,440000
Redmi,6.53,4,64,13,5000,520000
Redmi,6.53,2,32,13,5000,475000
Itel,5.0,1,8,5,2050,194900
Samsung,6.4,8,28,48,5000,1250000
Samsung,6.5,8,28,64,4500,1480000
Tecno,6.0,2,32,5,4000,340000
Tecno,6.8,4,28,64,5000,760000
Samsung,6.6,6,28,50,5000,840000
Samsung,6.5,2,32,48,5000,495000
Tecno,6.6,4,28,50,5000,700000
Hisence,5.0,1,8,5,2000,265000
Tecno,6.7,8,56,64,4750,1488000
Redmi,6.5,4,28,48,5000,599000
Vivo,6.51,4,64,13,5000,533000
Tecno,6.6,4,28,50,5000,850000
Itel,5.0,2,16,5,4000,368500
Hisence,6.55,4,64,48,5100,665000
Samsung,6.5,6,28,48,5000,960000
Redmi,6.67,6,28,64,5020,980000
Vivo,6.51,4,64,13,5000,533000
Itel,5.0,1,16,5,3020,240000
Infinix,6.82,4,28,50,5000,740000
Samsung,6.4,6,28,48,5000,1150000
Tecno,6.7,8,56,64,4750,1000000
Infinix,6.82,4,64,13,6000,580000
Tecno,6.6,2,64,13,5000,470000
Redmi,5.5,4,64,13,3080,395000
Tecno,6.6,2,64,13,5000,450000
Redmi,6.53,2,32,13,5000,450000
Infinix,6.7,4,28,13,5000,790000
Infinix,6.6,2,32,8,5000,440000
Redmi,6.5,6,28,48,5000,780000
Oppo,6.43,8,28,64,4300,1850000
Samsung,6.4,8,28,48,5000,1250000
Samsung,6.4,6,28,48,5000,1250000
Tecno,6.52,2,32,8,6000,410000
Samsung,6.4,8,28,48,5000,1250000
Hisence,6.95,4,28,48,5150,805000
Oppo,6.59,8,56,50,5000,1280000
Infinix,6.6,4,28,50,6000,700000
Samsung,6.6,8,28,50,6000,1155000
Tecno,6.6,4,64,13,5000,568000
Redmi,6.67,6,28,64,5020,980000
Infinix,6.6,4,28,50,6000,700000
Samsung,6.7,8,28,64,5000,1230000
Samsung,7.6,2,12,50,4400,6050000
Redmi,6.67,8,28,64,5020,1100000
Samsung,7.6,2,56,50,4400,5500000
Samsung,6.7,8,28,64,5000,1230000
Samsung,6.7,8,56,12,3700,3900000
Tecno,6.8,4,28,64,5000,899900
Itel,6.3,1,16,5,4000,295000
Samsung,6.7,8,56,12,3700,3900000
Samsung,6.7,8,28,12,3700,3600000
Samsung,6.6,6,28,48,5000,885000
Samsung,6.6,6,28,48,5000,885000
Hisence,6.52,2,64,13,4500,535000
Tecno,6.8,4,28,64,5000,888000
Itel,6.6,1,16,5,4000,290000
Samsung,6.5,2,32,48,5000,570000
Samsung,6.4,6,28,48,5000,1050000
Oppo,6.43,8,56,64,4500,2200000
Redmi,6.5,6,28,48,5000,888000
Itel,6.6,1,16,5,4000,323000
Infinix,6.7,4,64,50,5000,720000
Samsung,6.5,8,28,48,5000,1450000
Tecno,6.6,4,28,13,5000,610000
Samsung,6.5,6,28,48,5000,980000
Samsung,6.7,8,28,64,5000,1230000
Samsung,6.5,3,32,13,5000,580000
Samsung,6.6,6,28,50,5000,840000
Infinix,6.6,4,64,13,5000,525000
Samsung,6.5,6,28,48,5000,1430000
Samsung,6.6,4,64,50,5000,810000
Redmi,6.58,4,28,50,5000,720000
Samsung,6.5,6,28,48,5000,945000
Oppo,6.52,4,64,13,4230,740000
Redmi,6.5,6,28,48,5000,780000
Samsung,6.5,3,32,13,5000,540000
Samsung,6.5,3,64,13,5000,560000
Samsung,6.7,6,28,64,5000,1560000
Samsung,6.5,6,28,64,5000,970000
Tecno,6.5,4,64,16,5000,589000
Samsung,6.6,6,28,50,5000,790000
Redmi,6.5,4,64,48,5000,870000
Tecno,6.8,4,28,64,5000,928300
Infinix,6.6,2,64,13,5000,470000
Tecno,6.6,4,28,13,5000,610000
Samsung,6.5,4,64,50,5000,615000
Oppo,6.43,8,28,64,4300,1550000
Samsung,6.5,4,64,50,5000,550000
Itel,5.45,2,32,5,4000,315000
Infinix,6.82,4,28,50,5000,740000
Redmi,6.71,4,28,50,5000,780000
Samsung,6.5,4,28,48,6000,710000
Samsung,6.6,4,64,48,5000,780000
Tecno,6.6,4,64,13,5000,568000
Samsung,6.5,4,64,48,6000,640000
Redmi,6.53,4,28,13,5000,660000
Redmi,6.53,4,64,13,5000,580000
Samsung,6.6,8,56,50,4500,3880000
Samsung,6.5,2,32,48,5000,495000
Redmi,6.5,6,28,50,5000,870000
Redmi,6.67,8,28,64,5020,1060000
Samsung,6.7,8,56,12,3300,2990000
Oppo,6.51,4,28,16,5000,820000
Oppo,6.59,8,56,50,5000,1350000
Samsung,6.1,8,28,50,3700,2930000
Samsung,7.6,2,12,50,4400,6050000
Tecno,6.8,4,64,13,6000,579800
Oppo,6.43,6,28,48,5000,1180000
Infinix,6.7,4,64,50,5000,720000
Tecno,6.8,4,64,13,6000,520000
Infinix,6.6,2,32,8,5000,389000
Samsung,7.6,8,56,50,4400,6290000
Samsung,6.6,8,28,50,6000,1155000
Samsung,6.5,4,28,48,6000,710000
Redmi,6.67,6,28,64,5020,950000
Oppo,6.59,8,28,50,5000,1200000
