,Area,Location,No. of Bedrooms,New/Resale,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Clubhouse,Gas Connection,Price_in_Lakhs
2552,1050,Mira Road East,2,0,1,0,0,1,1,0,80.0
2553,1275,Mira Road East,3,0,1,0,0,1,1,0,120.0
2554,700,Mira Road East,1,0,1,0,0,0,0,0,58.0
2555,650,Mira Road East,1,0,1,1,0,1,0,0,55.0
2556,1015,Mira Road East,2,0,1,1,0,1,1,0,82.0
2557,1185,Mira Road East,3,0,0,0,0,0,0,0,95.0
2558,950,Mira Road East,2,0,1,0,0,1,0,0,86.0
2559,495,Mira Road East,1,1,1,0,0,0,1,0,64.0
2560,690,Mira Road East,2,1,1,0,0,0,1,0,91.0
2561,693,Mira Road East,1,0,1,0,0,0,1,0,60.0
2562,1185,Mira Road East,3,1,1,0,0,0,0,1,91.0
2563,1390,Mira Road East,3,1,1,1,0,1,1,1,115.0
2564,650,Mira Road East,1,0,1,1,0,1,1,1,55.0
2565,800,Mira Road East,2,0,1,1,0,0,0,0,80.0
2566,950,Mira Road East,2,0,1,1,1,1,1,1,75.0
2567,1060,Mira Road East,2,1,1,0,0,0,1,0,86.0
2568,1082,Mira Road East,2,1,1,0,0,0,1,1,91.0
2569,1050,Mira Road East,2,0,1,0,0,0,0,1,95.0
2570,650,Mira Road East,2,0,0,0,0,0,0,0,60.0
2571,785,Mira Road East,2,0,1,1,0,1,1,0,78.0
2572,620,Mira Road East,1,0,1,0,0,0,0,0,55.0
2573,925,Mira Road East,2,0,1,1,0,1,1,0,90.0
2574,901,Mira Road East,2,0,1,1,0,1,1,0,85.0
2575,810,Mira Road East,2,0,1,1,0,1,1,0,85.0
2576,720,Mira Road East,1,0,1,0,0,0,0,0,54.0
2577,1100,Mira Road East,2,0,1,1,0,0,1,1,97.0
2578,890,Mira Road East,2,0,1,1,1,0,1,0,70.0
2579,730,Mira Road East,1,0,1,0,0,0,1,0,60.22
2580,1050,Mira Road East,2,0,1,0,0,0,1,1,90.0
2581,1160,Mira Road East,2,0,1,0,0,0,1,0,95.7
2582,1150,Mira Road East,2,0,1,0,0,0,0,1,85.0
2583,890,Mira Road East,2,0,1,1,1,0,1,0,70.5
2584,786,Mira Road East,3,1,1,1,0,1,1,0,102.0
2585,384,Mira Road East,1,1,1,1,0,1,1,0,50.99
2586,538,Mira Road East,2,1,1,1,0,1,1,0,72.98999
2587,1232,Mira Road East,2,1,1,1,1,0,1,0,92.5
2588,1385,Mira Road East,3,0,1,1,0,1,0,0,85.0
